2016-06-02 21:55:30.7724|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
參數名稱: commitModel
   於 GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   於 GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   於 GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   於 System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2016-06-02 21:00:16.3963|INFO|thread:27|GitEnvironment|PATH is C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\J.H\AppData\Local\Apps\2.0\M8CTZ5K4.QJV\CYZHLTRN.O06\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\J.H\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\4.0\Framework\v4.0\
2016-06-02 21:00:16.3963|INFO|thread:27|ProcessWrapper|Starting: Process - FileName: 'C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'pull --progress --prune origin master ', Working Directory: C:\Users\J.H\Desktop\Coding\GitHub\android_class_267\
2016-06-02 21:00:21.2879|INFO|thread:37|AsyncReaderWriterLock|Released exclusive scheduler for operation: 356 at BranchSynchronizer.cs:220 after blocking 4.9863833s
2016-06-02 21:00:21.2879|INFO|thread: 1|BranchSynchronizer|Completing sync for C:\Users\J.H\Desktop\Coding\GitHub\android_class_267 - master
2016-06-02 21:00:21.2879|INFO|thread:26|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 357 at RepositoryModel.cs:596
2016-06-02 21:00:21.2879|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 358 at RepositoryViewModel.cs:318
2016-06-02 21:00:21.2879|INFO|thread:20|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 359 at GitClient.cs:290
2016-06-02 21:00:21.2879|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 360 at GitClient.cs:201
2016-06-02 21:00:21.2879|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 357 at RepositoryModel.cs:596 after waiting 0.0005777s
2016-06-02 21:00:21.2879|INFO|thread:29|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 358 at RepositoryViewModel.cs:318 after waiting 0.0004535s
2016-06-02 21:00:21.2879|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 361 at RepositoryModel.cs:596
2016-06-02 21:00:21.2879|INFO|thread: 1|BranchSynchronizer|Took 4987ms to sync repository C:\Users\J.H\Desktop\Coding\GitHub\android_class_267 - master
2016-06-02 21:00:21.2879|INFO|thread:13|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 359 at GitClient.cs:290 after waiting 0.0005064s
2016-06-02 21:00:21.2879|INFO|thread:39|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 360 at GitClient.cs:201 after waiting 0.0005563s
2016-06-02 21:00:21.3060|INFO|thread:13|GitEnvironment|Process set up with this SSH Agent info: 2928:/tmp/ssh-rOTf9N9G4sCX/agent.4944
2016-06-02 21:00:21.3060|INFO|thread:13|GitEnvironment|PATH is C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\J.H\AppData\Local\Apps\2.0\M8CTZ5K4.QJV\CYZHLTRN.O06\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\J.H\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\4.0\Framework\v4.0\
2016-06-02 21:00:21.3060|INFO|thread:13|ProcessWrapper|Starting: Process - FileName: 'C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: C:\Users\J.H\Desktop\Coding\GitHub\android_class_267\
2016-06-02 21:00:21.3060|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 357 at RepositoryModel.cs:596 after blocking 0.0191889s
2016-06-02 21:00:21.3060|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 361 at RepositoryModel.cs:596 after waiting 0.0191475s
2016-06-02 21:00:21.3185|INFO|thread:29|AsyncReaderWriterLock|Released concurrent scheduler for operation: 358 at RepositoryViewModel.cs:318 after blocking 0.0299396s
2016-06-02 21:00:21.3185|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 361 at RepositoryModel.cs:596 after blocking 0.0134848s
2016-06-02 21:00:21.3185|INFO|thread:39|AsyncReaderWriterLock|Released concurrent scheduler for operation: 360 at GitClient.cs:201 after blocking 0.0334515s
2016-06-02 21:00:21.3716|INFO|thread:36|ConcurrentRepositoryConnection|Took 62ms to git status
2016-06-02 21:00:21.3716|INFO|thread:36|ConcurrentRepositoryConnection|Took 63ms to git status and parse output
2016-06-02 21:00:21.4077|INFO|thread:36|NewCommitViewModel|Took 119ms to load files for C:\Users\J.H\Desktop\Coding\GitHub\android_class_267
2016-06-02 21:00:21.4077|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 359 at GitClient.cs:290 after blocking 0.1189504s
2016-06-02 21:00:21.4077|INFO|thread:29|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 362 at GitClient.cs:497
2016-06-02 21:00:21.4077|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 362 at GitClient.cs:497 after waiting 1.83E-05s
2016-06-02 21:00:21.4077|INFO|thread:40|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 363 at GitClient.cs:497
2016-06-02 21:00:21.4077|INFO|thread:39|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 363 at GitClient.cs:497 after waiting 2.77E-05s
2016-06-02 21:00:21.4077|INFO|thread:13|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 364 at GitClient.cs:497
2016-06-02 21:00:21.4077|INFO|thread:13|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 364 at GitClient.cs:497 after waiting 8.53E-05s
2016-06-02 21:00:21.4077|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 365 at GitClient.cs:497
2016-06-02 21:00:21.4077|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 365 at GitClient.cs:497 after waiting 2.81E-05s
2016-06-02 21:00:21.4213|INFO|thread: 1|NewCommitViewModel|Took 13ms to render file list for C:\Users\J.H\Desktop\Coding\GitHub\android_class_267
2016-06-02 21:00:21.4213|INFO|thread:21|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 366 at GitClient.cs:497
2016-06-02 21:00:21.4403|INFO|thread:29|AsyncReaderWriterLock|Released concurrent scheduler for operation: 362 at GitClient.cs:497 after blocking 0.0305416s
2016-06-02 21:00:21.4403|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 366 at GitClient.cs:497 after waiting 0.0169139s
2016-06-02 21:00:21.4669|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 363 at GitClient.cs:497 after blocking 0.0561288s
2016-06-02 21:00:21.4669|INFO|thread:13|AsyncReaderWriterLock|Released concurrent scheduler for operation: 364 at GitClient.cs:497 after blocking 0.0558899s
2016-06-02 21:00:21.4669|INFO|thread: 4|AsyncReaderWriterLock|Released concurrent scheduler for operation: 365 at GitClient.cs:497 after blocking 0.056974s
2016-06-02 21:00:21.4874|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 366 at GitClient.cs:497 after blocking 0.0473002s
2016-06-02 21:00:30.1390|INFO|thread:27|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 367 at GitClient.cs:497
2016-06-02 21:00:30.1390|INFO|thread:39|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 367 at GitClient.cs:497 after waiting 4.52E-05s
2016-06-02 21:00:30.1741|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 367 at GitClient.cs:497 after blocking 0.0348369s
2016-06-02 21:00:30.9635|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 368 at GitClient.cs:497
2016-06-02 21:00:30.9635|INFO|thread:39|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 368 at GitClient.cs:497 after waiting 8.91E-05s
2016-06-02 21:00:31.0647|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 368 at GitClient.cs:497 after blocking 0.1008315s
2016-06-02 21:00:31.8673|INFO|thread:21|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 369 at GitClient.cs:497
2016-06-02 21:00:31.8673|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 369 at GitClient.cs:497 after waiting 8.27E-05s
2016-06-02 21:00:31.9756|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 369 at GitClient.cs:497 after blocking 0.1079611s
2016-06-02 21:00:32.3668|INFO|thread:43|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 370 at GitClient.cs:497
2016-06-02 21:00:32.3668|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 370 at GitClient.cs:497 after waiting 0.0001032s
2016-06-02 21:00:32.4741|INFO|thread: 4|AsyncReaderWriterLock|Released concurrent scheduler for operation: 370 at GitClient.cs:497 after blocking 0.1060727s
2016-06-02 21:00:34.7924|INFO|thread:36|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 371 at GitClient.cs:497
2016-06-02 21:00:34.7924|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 371 at GitClient.cs:497 after waiting 9.21E-05s
2016-06-02 21:00:34.8877|INFO|thread:27|AsyncReaderWriterLock|Released concurrent scheduler for operation: 371 at GitClient.cs:497 after blocking 0.0952392s
2016-06-02 21:00:38.5960|INFO|thread:42|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 372 at GitClient.cs:497
2016-06-02 21:00:38.5960|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 372 at GitClient.cs:497 after waiting 0.0001036s
